,,,,,,,,,,
Rk.,Pitcher,Team,Throws,Fourseam,Sinker,Cutter,Splitter,Change,Slider,Curve
385,"Rodríguez, Joely",NYM,L,89,88.2,,,97,39.8,
386,"Middleton, Keynan",AZ,R,89,,,,78.3,18.3,
387,"Gilbreath, Lucas",COL,L,89,,,,,35.1,
388,"Montas, Frankie",NYY,R,88.9,86.4,33.9,84.7,,32,
389,"Danish, Tyler",BOS,R,88.9,91.2,,,98.5,,
390,"Chapman, Aroldis",NYY,L,88.9,88.1,,27.5,,40.9,
391,"Merryweather, Julian",TOR,R,88.9,,,,97.4,17.2,84.8
392,"Martin, Davis",CWS,R,88.9,,,,93.5,35.4,71.5
393,"Yajure, Miguel",PIT,R,88.8,95.6,60.9,,90.3,31,80.7
394,"Floro, Dylan",MIA,R,88.8,90.8,,,95.4,21.8,
395,"Pineda, Michael",DET,R,88.7,,,,96,9.6,
396,"Gott, Trevor",MIL,R,88.7,88.4,60.8,,,,81.8
397,"De Jong, Chase",PIT,R,88.6,,,,98.9,27.8,76.4
398,"Sousa, Bennett",CWS,L,88.6,,,,,25.8,
399,"Romero, JoJo",STL,L,88.5,86.5,,,99.2,31.4,
400,"Silseth, Chase",LAA,R,88.4,88.1,,78.7,,49.4,81
401,"Sandoval, Patrick",LAA,L,88.4,88.2,,,98.9,33.4,63.4
402,"Montero, Rafael",HOU,R,88.3,85,,,93,26.9,
403,"Gage, Matt",TOR,L,88.3,,31.7,,,27.8,
404,"Kolarek, Adam",OAK,L,88.3,92.7,,,97.9,36.6,
405,"Henry, Tommy",AZ,L,88.2,,,,93.6,26.6,63.7
406,"Nance, Tommy",MIA,R,88.2,78.6,,,,24.2,66.6
407,"Elías, Roenis",SEA,L,88.1,,,,93.8,,69.2
408,"Hentges, Sam",CLE,L,87.9,85.1,,,,19.7,82.4
409,"Watkins, Spenser",BAL,R,87.9,85.3,49.9,,89.2,,70.2
410,"Sheffield, Justus",SEA,L,87.9,79.1,,,76,45.3,
411,"Peterson, David",NYM,L,87.8,91.1,,,99,19.2,67.4
412,"Corbin, Patrick",WSH,L,87.7,85.8,,,98.2,18.5,
413,"Fairbanks, Pete",TB,R,87.5,,,,,43.2,
414,"Lawrence, Casey",TOR,R,87.4,91.1,,,97.3,30.4,42.5
415,"Blackburn, Paul",OAK,R,87.3,85.2,42.3,,80.2,74,89.7
416,"Young, Alex",SF,L,87.2,83.3,,,83.7,,18
417,"Ramírez, Erasmo",WSH,R,87.2,85.2,52.9,,90.2,,41.5
418,"Bumgarner, Madison",AZ,L,87.1,87.6,49.3,,96.1,,61.7
419,"Newcomb, Sean",CHC,L,87,,28.2,,,,94.1
420,"Pagán, Emilio",MIN,R,87,,26.9,94.8,,26.4,74.6
421,"Darvish, Yu",SD,R,87,90.7,52.9,53.7,,28.3,87.2
422,"Kirby, George",SEA,R,86.9,84.4,35.5,,99.4,47.5,85.2
423,"Garrett, Braxton",MIA,L,86.9,80.9,,,94,31.3,71.9
424,"Martin, Brett",TEX,L,86.9,87.4,,,,34.2,53.8
425,"Marte, José",LAA,R,86.8,84.1,36.7,,,,
426,"Bard, Luke",NYY,R,86.8,,45.6,,98.9,26,65
427,"López, Yoan",NYM,R,86.8,,,,90.4,43.2,
428,"Brentz, Jake",KC,L,86.7,,,,,24.5,
429,"Peters, Dillon",PIT,L,86.7,87.5,,,98.4,27.5,72.4
430,"Pérez, Cionel",BAL,L,86.6,82.4,,,,45.9,81.8
431,"Germán, Domingo",NYY,R,86.6,86.3,,,87.1,,26.3
432,"Castillo, Luis",SEA,R,86.6,89.7,,,90.2,13.5,
433,"Kershaw, Clayton",LAD,L,86.6,,,,99.1,43.2,83.7
434,"Hunter, Tommy",NYM,R,86.6,83.2,62.1,,,,46.9
435,"Hall, DL",BAL,L,86.5,,,,91.2,37.7,66.1
436,"Bello, Brayan",BOS,R,86.5,87.6,,,98.5,31.2,
437,"Boyd, Matthew",SEA,L,86.3,85.6,,,83.4,31.3,
438,"Murphy, Patrick",WSH,R,86.3,79.9,,,,,81.1
439,"Mikolas, Miles",STL,R,86.3,81.9,,,95.9,31.1,83
440,"Strzelecki, Peter",MIL,R,86.2,,,,98.9,55.1,
441,"Garza Jr., Ralph",TB,R,86.1,82.1,72.9,,97.5,43.1,45.5
442,"Hand, Brad",PHI,L,86.1,88.1,,,,67.6,
443,"Velasquez, Vince",CWS,R,85.9,80.7,,,91.9,32.6,
444,"Weiss, Zack",LAA,R,85.9,,,,,32.7,
445,"Stephens, Jackson",ATL,R,85.9,86.9,,,64.3,29.7,79.4
446,"Farrell, Luke",CIN,R,85.8,,,,,17.9,66.9
447,"Sánchez, Miguel",MIL,R,85.8,,,,87.8,17.9,
448,"Helsley, Ryan",STL,R,85.7,,,,,29.8,68.6
449,"Miley, Wade",CHC,L,85.7,88.9,48.3,,87.3,23.2,64.9
450,"Mills, Alec",CHC,R,85.6,84.1,,,85.4,63.6,82.7
451,"Gibson, Kyle",PHI,R,85.5,83,57.5,,83.6,29.7,58.6
452,"García, Rony",DET,R,85.5,85.2,,,92.5,,47.2
453,"Dugger, Robert",CIN,R,85.5,83.9,,,98.1,47.1,69.4
454,"Morton, Charlie",ATL,R,85.4,88.8,23.3,,99.2,,76.5
455,"Norris, Daniel",DET,L,85.4,85.4,,,77.7,,82.6
456,"Head, Louis",BAL,R,85.4,,,,84.7,55.4,
457,"Widener, Taylor",AZ,R,85.4,,,,94.8,29.2,
458,"Underwood Jr., Duane",PIT,R,85.3,85.5,53.2,,93.4,,69
459,"Junk, Janson",LAA,R,85.3,,,,,34.6,86.1
460,"Thompson, Keegan",CHC,R,85.3,83.3,46.5,,94.5,,74
461,"Cessa, Luis",CIN,R,85.2,84.3,,,82.1,41.3,
462,"Lee, Evan",WSH,L,85.2,,,,84.7,,60.4
463,"Barría, Jaime",LAA,R,85.2,85.4,,,98.6,32.6,
464,"Quijada, José",LAA,L,85,,,,99,56.8,
465,"Diplán, Marcos",BAL,R,85,,,,83.9,33.3,50.3
466,"Bielak, Brandon",HOU,R,84.9,80.9,,,91.5,38.5,82.6
467,"Brice, Austin",PIT,R,84.8,90.3,,,,,52.9
468,"Tinoco, Jesus",TEX,R,84.7,84.7,,,,20.5,26.2
469,"Herget, Jimmy",LAA,R,84.6,85.2,,,74.7,18.5,61.4
470,"Barnes, Jacob",NYY,R,84.6,,40.9,,,32.1,
471,"Crismatt, Nabil",SD,R,84.6,84.1,,,77.6,,97.2
472,"Carrasco, Carlos",NYM,R,84.6,83.4,,,77,17.9,50.7
473,"Matzek, Tyler",ATL,L,84.6,,,,,51.6,
474,"Abreu, Bryan",HOU,R,84.5,,,,,47.1,65.1
475,"Mills, Wyatt",KC,R,84.5,76.4,,,,36.1,
476,"Keller, Mitch",PIT,R,84.4,82.3,,,96.2,32,92.5
477,"Knehr, Reiss",SD,R,84.4,,43.9,,99.5,56.7,49.6
478,"Woodford, Jake",STL,R,84.1,81.7,,,99,,95.5
479,"Tully, Tanner",CLE,L,84.1,,,,86.9,34.1,
480,"Hutchison, Drew",DET,R,84,82.2,,,85.4,25,
481,"Leone, Dominic",SF,R,83.9,,43.9,,,38.5,
482,"Lange, Alex",DET,R,83.9,84.4,,,93.3,,38.6
483,"Ferguson, Caleb",LAD,L,83.9,,,,,,82.8
484,"Glasnow, Tyler",TB,R,83.9,,,,,19.1,70.6
485,"Nelson, Kyle",AZ,L,83.7,,,,,38.7,
486,"White, Mitch",TOR,R,83.7,85.7,,,76.4,,78.8
487,"Familia, Jeurys",BOS,R,83.7,81.5,,89,,34.9,
488,"Suárez, Ranger",PHI,L,83.7,82.2,55.6,,92.9,29.5,74.6
489,"Moronta, Reyes",AZ,R,83.6,,,,91,54.8,
490,"Quintana, José",STL,L,83.6,85.7,,,92.9,,60.5
491,"Thornton, Trent",TOR,R,83.5,82.1,,,,,66.5
492,"Holderman, Colin",PIT,R,83.5,86.3,32.3,,,29,
493,"King, Michael",NYY,R,83.4,79.3,,,98.3,,
494,"Rasmussen, Drew",TB,R,83.3,86.5,29.9,,,33.1,79
495,"Syndergaard, Noah",PHI,R,83.2,81.5,,,96.7,36,67.1
496,"Montgomery, Jordan",STL,L,83.1,89,49.6,,95.6,,50.5
497,"Wright, Kyle",ATL,R,83,82.3,,,94.2,45.1,
498,"Morris, Cody",CLE,R,82.9,,39.4,,91.1,,91.3
499,"Phillips, Evan",LAD,R,82.5,85.7,54.2,,,,
500,"Romo, Sergio",TOR,R,82.4,87.8,,,99.3,42.2,
501,"Manoah, Alek",TOR,R,82.4,82.3,,,80.4,44.2,
502,"Gallen, Zac",AZ,R,82,,46.2,,79.3,42.9,
503,"Payamps, Joel",OAK,R,82,81.5,,,82.9,50.2,
504,"Senzatela, Antonio",COL,R,81.8,84.2,,,66.7,39.4,57.8
505,"Poteet, Cody",MIA,R,81.7,77,,,84.4,29.4,59
506,"Rodriguez, Eduardo",DET,L,81.6,81.8,57.7,,90,33.4,
507,"Winckowski, Josh",BOS,R,81.5,83.5,39.9,,86.7,41,
508,"Banks, Tanner",CWS,L,81.3,,,,69.5,36.2,33.1
509,"Warren, Art",CIN,R,81.2,,,,,37.8,
510,"Bickford, Phil",LAD,R,81.2,,,,,47.3,
511,"Cishek, Steve",WSH,R,81.2,85.6,,,,82.9,
512,"Kelly, Merrill",AZ,R,81,80.3,63.8,,86,,67.1
513,"Barraclough, Kyle",LAA,R,80.7,,,,,68.6,
514,"Megill, Trevor",MIN,R,80.7,,,,,39.3,
515,"Armstrong, Shawn",TB,R,80.6,85.4,46.7,,,44.5,
516,"Martinez, Seth",HOU,R,80.6,80,38.8,,83.4,,
517,"Coleman, Dylan",KC,R,80.5,88.8,,,,49,
518,"Rodríguez, Manuel",CHC,R,80.5,86.2,,,,38.8,
519,"Pressly, Ryan",HOU,R,80.2,,,,70.6,27,76
520,"Civale, Aaron",CLE,R,80.2,79,40.2,79,,50,87.8
521,"Gustave, Jandel",MIL,R,80.1,79.4,,,,41.8,
522,"Sands, Cole",MIN,R,80,,20.8,83.7,97.3,,75.9
523,"Bassitt, Chris",NYM,R,80,85,46.8,,96,38.9,94.1
524,"Ramirez, Yohan",PIT,R,79.9,85.4,,,,,
525,"Sandlin, Nick",CLE,R,79.9,78.2,,85.4,,53.4,
526,"Feltner, Ryan",COL,R,79.8,76.6,,,61.1,35.1,73.3
527,"Kilian, Caleb",CHC,R,79.7,81.2,40.1,,,,
528,"Crowe, Wil",PIT,R,79.5,77.1,,,56.4,37.3,82.6
529,"García, Yimi",TOR,R,79.4,84.6,,,97.6,39.1,49.9
530,"Bleier, Richard",MIA,L,79.4,82,42.2,,97.6,61.6,
531,"Hendrix, Ryan",CIN,R,79.1,82.4,,,95.3,30.5,
532,"Thompson, Ryan",TB,R,79.1,85.2,,,,67.9,
533,"Greinke, Zack",KC,R,79.1,78.6,46.9,,86.1,45.9,77.5
534,"Sewald, Paul",SEA,R,79,,,,,,
535,"Fulmer, Michael",MIN,R,79,81,46.9,,90.1,,91.6
536,"Weissert, Greg",NYY,R,78.9,86.3,,,98,,
537,"Ramirez, Noé",AZ,R,78.9,,,,73.1,,61.3
538,"Ortega, Oliver",LAA,R,78.8,76.3,,,,,69.7
539,"Lakins Sr., Travis",BAL,R,78.8,,47.6,,81.5,62,82.5
540,"VerHagen, Drew",STL,R,78.7,78.6,57.1,,67.7,,94.5
541,"Pruitt, Austin",OAK,R,78.7,,,,88.9,31.6,63.3
542,"Duffey, Tyler",MIN,R,78.6,82.1,,,81.2,53.3,
543,"Uelmen, Erich",CHC,R,78.6,83.4,,,83.6,46.3,
544,"Bradish, Kyle",BAL,R,78.4,84,,,98.9,34.7,75.1
545,"Strickland, Hunter",CIN,R,78.4,78.1,,,82.9,45.9,
546,"Castro, Kervin",CHC,R,78.4,,45.7,,,,78.5
547,"Wantz, Andrew",LAA,R,78.3,,31.9,,66.6,,
548,"Rogers, Tyler",SF,R,78.3,73.4,,,,74.7,
549,"Leclerc, José",TEX,R,78.2,,31,,83.9,40.4,
550,"Bard, Daniel",COL,R,77.9,82.3,,,97.3,36.6,
551,"Zimmermann, Bruce",BAL,L,77.7,84.6,,,96.3,14.8,53.9
552,"Webb, Logan",SF,R,77.5,76.3,,,73.7,45.5,
553,"Gray, Sonny",MIN,R,77.2,71,,,92,47.1,88.8
554,"Kuhnel, Joel",CIN,R,77.1,83.8,,,87.7,24.4,
555,"Minor, Mike",CIN,L,76.8,,,,98.7,26.5,
556,"Ottavino, Adam",NYM,R,76.7,81,31,,85.3,,
557,"Mushinski, Parker",HOU,L,76.7,,42.5,,,61.6,90.2
558,"Adam, Jason",TB,R,76.7,,,,82.2,,
559,"Ohtani, Shohei",LAA,R,76.4,80.2,30.9,65.2,,47.1,80.8
560,"Wesneski, Hayden",CHC,R,76.3,84,36.6,,88.3,,
561,"Wendelken, J.B.",AZ,R,76.2,82.4,,,99.4,39.4,
562,"Coulombe, Danny",MIN,L,76.1,75.8,,,98.8,20,
563,"Elder, Bryce",ATL,R,75.9,75.3,,,67.9,29.7,
564,"Wainwright, Adam",STL,R,75.8,83.3,46.2,,91,,96.7
565,"Otto, Glenn",TEX,R,75.7,73.7,,,98.3,,
566,"Urías, Julio",LAD,L,75.5,,,,88.8,,
567,"Freeland, Kyle",COL,L,75.5,72.1,,,93,24.3,
568,"Chacín, Jhoulys",COL,R,75.3,76,,,81.5,39.6,59.2
569,"Koenig, Jared",OAK,L,75.2,76.9,28.5,,93.9,,76
570,"Domínguez, Seranthony",PHI,R,74.8,80.4,,,97.6,33.3,
571,"Scott, Tanner",MIA,L,74.6,,,,,23.7,
572,"Bolaños, Ronald",KC,R,74.5,77.7,,,91.1,40.5,69.5
573,"Williams, Trevor",NYM,R,74.4,78.1,,,88,37.3,50.4
574,"Houck, Tanner",BOS,R,74.3,79.6,,76.4,,49.9,
575,"Singer, Brady",KC,R,74.2,85.9,,,94.8,21.3,
576,"Fried, Max",ATL,L,73.9,71,,,88.3,20.6,87.3
577,"Taylor, Blake",HOU,L,73.9,,,,,40.3,
578,"Castano, Daniel",MIA,L,73.8,65.5,27.3,,86.6,31,
579,"Toussaint, Touki",LAA,R,73.3,72.2,,82.5,,,87.7
580,"Flaherty, Jack",STL,R,73.1,71.4,47.9,,,54.8,
581,"Díaz, Alexis",CIN,R,73,,,,,34.4,
582,"Kluber, Corey",TB,R,72.6,79.7,36.5,,74.7,,53.9
583,"Keuchel, Dallas",TEX,L,72.5,82.7,42.6,,90.9,33.9,
584,"Crick, Kyle",CWS,R,72.5,75.9,,,,79.9,
585,"Medina, Adonis",NYM,R,72.4,76.3,,,87.5,29.5,53.5
586,"Pallante, Andre",STL,R,72,86.8,,,,39.7,90.9
587,"Lynn, Lance",CWS,R,72,68,32.6,,77.2,26.4,46.8
588,"Muller, Kyle",ATL,L,71.9,,,,82.3,10.4,70.8
589,"Castellanos, Humberto",AZ,R,71.9,77.1,,,94.3,41.8,74
590,"Oviedo, Johan",PIT,R,71.5,,,,94.1,41.4,63.7
591,"Festa, Matt",SEA,R,71.5,,,,,,
592,"Hollowell, Gavin",COL,R,71.4,81.8,,,,57.4,
593,"López, Pablo",MIA,R,71.2,76.9,35.3,,87.2,,74.9
594,"Edwards Jr., Carl",WSH,R,70.5,,,,85.9,,81.5
595,"Selman, Sam",OAK,L,70.4,77.4,,,,47.8,
596,"García, Luis",SD,R,70.3,86.8,,82,,56.2,
597,"Schreiber, John",BOS,R,70.1,78,,,85.4,64.2,
598,"Barlow, Scott",KC,R,70,,,,,48.8,84.8
599,"Stroman, Marcus",CHC,R,69.9,58.7,25.1,75.9,,30.9,
600,"Givens, Mychal",NYM,R,69.2,,,,52.1,33.6,
601,"Thompson, Zach",PIT,R,68.9,73.4,29,,72.1,,78.8
602,"Hernández, Darwinzon",BOS,L,68.6,,,,,33.1,87.5
603,"Naile, James",STL,R,68,76.7,38.1,,,,58.3
604,"O'Day, Darren",ATL,R,67.5,71.1,,,,32.7,
605,"Schmidt, Clarke",NYY,R,67.5,68.5,,,52.9,,
606,"González, Chi Chi",NYY,R,67,65.8,,,84.1,31.7,36.6
607,"Jones, Damon",PHI,L,66.9,,,,,53.8,
608,"Cimber, Adam",TOR,R,66.7,71.4,,,,30.7,
609,"Suter, Brent",MIL,L,66.6,85.2,,,93.7,43.1,
610,"Burnes, Corbin",MIL,R,66.3,71.9,55.8,,76.2,37.8,62.3
611,"Musgrove, Joe",SD,R,66.3,65.4,47.3,,66.8,54.6,74.2
612,"Valdez, Framber",HOU,L,65.9,73.1,39.2,,79.5,,82.2
613,"Maton, Phil",HOU,R,65.8,77.2,,,,,93.8
614,"Clase, Emmanuel",CLE,R,65.6,,59.5,,,34.2,
615,"Stratton, Chris",STL,R,65.6,68.7,,,66.4,32.4,77
616,"Melancon, Mark",AZ,R,65.4,,61.1,82.7,,21.9,
617,"Reed, Jake",BAL,R,64.8,91.9,,,,35.7,
618,"Fry, Paul",AZ,L,64.4,,,,68.4,54.7,
619,"Castro, Anthony",CLE,R,64.2,63.3,,,,50,
620,"Ruiz, Norge",OAK,R,64.1,,,,64.5,33.1,
621,"Keller, Brad",KC,R,64.1,72.1,,,69.9,38.5,
622,"Hudson, Dakota",STL,R,63.8,76.5,,,96.1,27.1,64.4
623,"Kittredge, Andrew",TB,R,62.1,82.4,,,,29.4,
624,"Steele, Justin",CHC,L,60.4,65,,,87.6,55.4,68.9
625,"Miller, Tyson",TEX,R,59.5,74.9,,,,54.2,
626,"Richards, Garrett",TEX,R,55,,,,80,20.3,94.9
627,"Murfee, Penn",SEA,R,43.3,62,,,,,
628,"Vespi, Nick",BAL,L,29.9,,,,,40.8,58.5
629,"Luetge, Lucas",NYY,L,,,41.3,,,,88.6
630,"Peguero, Elvis",LAA,R,,93.4,,,,12.5,
631,"Raley, Brooks",TB,L,,73.6,36.6,,84,,
632,"Cousins, Jake",MIL,R,,96.3,,,,49.5,
633,"Rogers, Taylor",MIL,L,,90.9,,,,,
634,"Perdomo, Luis",MIL,R,,92.2,,96.3,,19.4,
635,"Kelley, Trevor",MIL,R,,94,,,98.4,20.5,47.8
636,"Mazza, Chris",TB,R,,87.6,30.3,,,63.4,
637,"McFarland, T.J.",STL,L,,89.3,,,93.2,44.9,
638,"Hicks, Jordan",STL,R,,86.7,,,94.7,49.9,
639,"Faucher, Calvin",TB,R,,95.6,,,,,66.1
640,"Yacabonis, Jimmy",TB,R,,91.2,,,97.6,,
641,"Topa, Justin",MIL,R,,89.9,,,,63.3,
642,"Loup, Aaron",LAA,L,,94.9,14,,99.3,,67.3
643,"Davies, Zach",AZ,R,,98,75.5,,98.9,66.2,74.8
644,"Yarbrough, Ryan",TB,L,,96.9,41.7,,93.4,,73.5
645,"Matz, Steven",STL,L,,99.3,,,83.3,56.8,84.8
646,"Poppen, Sean",AZ,R,,96.1,,,92.4,57.8,
647,"Alexander, Scott",SF,L,,78.6,,,91,28.3,
648,"Hjelle, Sean",SF,R,,88.9,,,93.2,,
649,"Wood, Alex",SF,L,,98.9,,,93.4,25.1,
650,"Fleming, Josh",TB,L,,89.1,31.6,,87.2,,52
651,"Llovera, Mauricio",SF,R,,87,,,,46.5,
652,"Weber, Ryan",NYY,R,,91.9,,,,70.2,
653,"Uceta, Edwin",AZ,R,,92.6,,,81.2,,48.5
654,"Doval, Camilo",SF,R,,66.9,65.7,,,44.6,
655,"Snider, Collin",KC,R,,67.9,,,70.6,37.9,
656,"Dunning, Dane",TEX,R,,79.7,48.9,,99,61.3,
657,"Cobb, Alex",SF,R,,90.9,,79.2,,,
658,"Cano, Yennier",BAL,R,,96.7,,,99.4,15.1,
659,"Peacock, Matt",KC,R,,95.7,,,,11.3,
660,"Holmes, Clay",NYY,R,,82.2,,,,26.7,
661,"Cuas, Jose",KC,R,,80,,,98.6,27,
662,"Castro, Miguel",NYY,R,,97.4,,,93.4,44.2,
663,"Tate, Dillon",BAL,R,,96,,,98.5,42,
664,"Bruihl, Justin",LAD,L,,69.6,38.7,,,57.1,
665,"Junis, Jakob",SF,R,,73.2,20.9,,73.7,39.9,
666,"Vasquez, Andrew",SF,L,,79.6,,,,68.6,
667,"Thompson, Mason",WSH,R,,92.6,,,,28.9,
668,"King, John",TEX,L,,81,18.8,,91.9,45.8,
669,"Valdez, Phillips",BOS,R,,98,,,90.8,29.9,
670,"Appel, Mark",PHI,R,,94,,,,61.1,
671,"Hoeing, Bryan",MIA,R,,94.7,,,98.1,37.2,73
672,"Robertson, David",PHI,R,,,72.5,,,45.4,
673,"Bender, Anthony",MIA,R,,79,,,86.9,53.9,
674,"Borucki, Ryan",SEA,L,,93.2,,,94.1,21.8,
675,"Finnegan, Kyle",WSH,R,,98.5,,85.4,,44.3,
676,"Hader, Josh",SD,L,,98.6,,,94.7,19.2,
677,"Sánchez, Cristopher",PHI,L,,98.5,,,88.8,19.7,
678,"Fedde, Erick",WSH,R,,72.3,51,,86.3,,67.7
679,"Roberts, Ethan",CHC,R,,,50.3,,,,78.8
680,"Fishman, Jake",MIA,L,,94,,,,69.4,
681,"Smyly, Drew",CHC,L,,98.8,72.8,,,,
682,"McCullers Jr., Lance",HOU,R,,74.3,26.7,,93.6,47.7,
683,"Bummer, Aaron",CWS,L,,79.1,22.7,,,,
684,"Stammen, Craig",SD,R,,89.1,51.9,,92.7,53,
685,"Gsellman, Robert",CHC,R,,91.7,,,99.4,40.2,
686,"Ashcraft, Graham",CIN,R,,63.1,56.3,,80.7,53.4,
687,"Young, Danny",ATL,L,,86.6,,,,54.7,
688,"Zeuch, T.J.",CIN,R,,75.2,25.6,,95.4,36.4,
689,"Solomon, Jared",CIN,R,,95.6,,,,34.5,
690,"McHugh, Collin",ATL,R,,,47.7,,,,81.1
691,"De Jesus, Angel",DET,R,,98,,,,23.8,
692,"Hernández, Jonathan",TEX,R,,97.2,,,97.3,27.2,
693,"Martínez, Adrián",OAK,R,,98,,,74,20.3,
694,"Garcia, Bryan",DET,R,,99.3,,,97.1,30.8,
695,"Fletcher, Aaron",PIT,L,,92.5,,,83.9,35,
696,"De Los Santos, Yerry",PIT,R,,92.4,,,,27.3,
697,"Mayza, Tim",TOR,L,,92.8,,,,22.5,
698,"Shaw, Bryan",CLE,R,,60.6,50,,76.2,49.6,82.5
699,"Jansen, Kenley",ATL,R,,96.5,79.9,,,51.8,
700,"Bird, Jake",COL,R,,85,47.4,,83.8,,80.4
701,"Smith, Chad",COL,R,,92,,,,23.6,
702,"Chavez, Jesse",ATL,R,,93.8,65.1,,96.6,,74.5
703,"Blach, Ty",COL,L,,99.2,24.8,,98.7,,59.4
704,"Pop, Zach",TOR,R,,85.4,,,,40.5,
705,"Moll, Sam",OAK,L,,67.4,,,,,
706,"Lawrence, Justin",COL,R,,87.5,,,,,
707,"McKay, David",OAK,R,,98.6,,,,40,
