,,,,,,,,,,
Rk.,Pitcher,Team,Throws,Fourseam,Sinker,Cutter,Splitter,Change,Slider,Curve
90,"Wisler, Matt",TB,R,97.8,,,,,25.5,
91,"Kelly, Zack",BOS,R,97.8,,,,84.6,34.5,
92,"Sears, JP",OAK,L,97.8,,,,99.5,,47.3
93,"Kelly, Joe",CWS,R,97.7,96.8,,,97.9,45.1,
94,"Lambert, Jimmy",CWS,R,97.6,,,,98.3,27.6,
95,"Garcia, Rico",BAL,R,97.6,,,,98.5,,39.5
96,"Foster, Matt",CWS,R,97.6,,,,98.3,41.8,65.4
97,"Pivetta, Nick",BOS,R,97.5,,42.4,85.7,,41.9,
98,"Estrada, Jeremiah",CHC,R,97.5,,,,,32.3,
99,"Carlton, Drew",DET,R,97.5,97.9,,,98.8,43.6,
100,"Cole, Gerrit",NYY,R,97.5,,42.2,,98.4,23.6,
101,"Kennedy, Ian",AZ,R,97.5,,28,85.4,,45,
102,"Jackson, Andre",LAD,R,97.4,,,,81.2,62.4,
103,"Long, Sam",SF,L,97.4,98.8,,,94.9,,76.3
104,"Strahm, Matt",BOS,L,97.4,98.4,38.1,,97,,38.9
105,"Pérez, Martín",TEX,L,97.4,97.8,67.2,,99.4,21.4,39.1
106,"Greene, Hunter",CIN,R,97.4,,,,91.8,42,
107,"Hoffman, Jeff",CIN,R,97.4,,,97.7,,59.3,
108,"Quantrill, Cal",CLE,R,97.3,97.5,41.8,,97.9,,27.9
109,"Colomé, Alex",COL,R,97.3,,56,,,,
110,"Goudeau, Ashton",COL,R,97.3,,,,99.1,,74
111,"Brogdon, Connor",PHI,R,97.2,,60.2,,98.1,,
112,"Rogers, Josh",WSH,L,97.2,94.6,,,98,18.9,
113,"Karinchak, James",CLE,R,97.1,,,,,,52.7
114,"Mengden, Daniel",KC,R,97.1,,48.7,,99.2,,96.3
115,"Alexy, A.J.",TEX,R,97.1,,,,94.7,32.4,83.6
116,"Ort, Kaleb",BOS,R,97.1,,,,98.3,46.1,
117,"Brigham, Jeff",MIA,R,97,,,,,,
118,"Moore, Matt",TEX,L,97,,,,97,,
119,"Verlander, Justin",HOU,R,97,,,,98,30.1,60.1
120,"Gonsolin, Tony",LAD,R,97,,,90.8,,30.5,60.2
121,"Hudson, Daniel",LAD,R,97,97.9,,,94.4,27.4,
122,"Thompson, Zack",STL,L,97,,27.9,,94.1,,92
123,"Rainey, Tanner",WSH,R,96.9,,,,,23.7,
124,"Bass, Anthony",TOR,R,96.8,94.5,,94.6,,34.4,
125,"Akin, Keegan",BAL,L,96.8,,,,98.6,30.6,
126,"Jiménez, Joe",DET,R,96.8,,,,95.2,25.1,
127,"Shreve, Chasen",NYM,L,96.8,,,95.6,,46.6,
128,"Diehl, Phillip",CIN,L,96.7,,,,,11.2,
129,"Sborz, Josh",TEX,R,96.7,,,,,8.8,74.8
130,"Kopech, Michael",CWS,R,96.7,,,,94.2,30.9,62.6
131,"DeSclafani, Anthony",SF,R,96.6,94.8,,,96.3,44.4,
132,"Coonrod, Sam",PHI,R,96.6,93.5,,,95.5,54.6,33.6
133,"Small, Ethan",MIL,L,96.5,,,,99.1,,
134,"Bieber, Shane",CLE,R,96.5,,38.8,,97.9,17.2,
135,"Archer, Chris",MIN,R,96.5,,,,96,37.8,40.5
136,"Littell, Zack",SF,R,96.4,,,85.6,,40.9,
137,"Curry, Xzavion",CLE,R,96.4,,,,94,41.8,83.5
138,"Burke, Brock",TEX,L,96.4,96.4,,,92.9,39.9,
139,"Miller, Shelby",SF,R,96.3,,,,,53.2,
140,"Kikuchi, Yusei",TOR,L,96.3,,60.3,,89.1,25.7,
141,"Pérez, Francisco",WSH,L,96.3,,,,,20.2,
142,"Ryan, Joe",MIN,R,96.3,,,,99.4,22.8,66
143,"Skubal, Tarik",DET,L,96.3,95.1,,,81.3,48.1,
144,"Espinoza, Anderson",CHC,R,96.3,,,,,42.8,
145,"Lemoine, Jacob",OAK,R,96.3,97.2,,,90.4,28.6,
146,"Ortiz, Luis L.",PIT,R,96.3,94.4,,,99.4,20.3,
147,"Gose, Anthony",CLE,L,96.2,,,,,33.2,
148,"Vest, Will",DET,R,96.2,,,,97.1,36.5,
149,"Jefferies, Daulton",OAK,R,96.2,98.5,73.9,,93.8,,38
150,"Baumann, Mike",BAL,R,96.1,,,,99.2,48.4,
151,"Barlow, Joe",TEX,R,96.1,96.3,,,,42,46.4
152,"Nola, Aaron",PHI,R,96.1,94.3,42.3,,99.4,,
