"","player_name","meanhorizontal","meanvertical","meanspinrate"
"1","Abbott, Cory",-0.957723004694836,1.43281690140845,2253.98356807512
"2","Abreu, Bryan",-0.521350762527233,1.42949891067538,2311.62962962963
"3","Acevedo, Domingo",-1.13420803782506,1.1134988179669,2118.01182033097
"4","Adam, Jason",-0.572152317880795,1.46956953642384,2654.26821192053
"5","Adon, Joan",-0.888558558558559,1.252574002574,2186.12741312741
"6","Alcantara, Sandy",-1.00200980392157,1.15191176470588,2199.77328431373
"7","Anderson, Chase",-0.569389312977099,1.47213740458015,2162.54961832061
"8","Anderson, Ian",-0.493895833333333,1.388625,1937.60625
"9","Archer, Chris",-0.531630094043887,1.5491065830721,2174.23510971787
"10","Armstrong, Shawn",-0.435841584158416,1.33135313531353,2302.05280528053
"11","Assad, Javier",-0.571836734693878,1.37993197278912,2211.38095238095
"12","Baker, Bryan",-0.20185520361991,1.49266968325792,2334.6802413273
"13","Barlow, Joe",-0.509605263157895,1.60782894736842,2330.59210526316
"14","Barlow, Scott",-0.313645833333333,0.993298611111111,2394.09375
"15","Barnes, Jacob",-0.199479768786127,1.51531791907514,2405.64739884393
"16","Barnes, Matt",-0.90933962264151,1.3996855345912,2249.33018867925
"17","Barría, Jaime",-0.482754237288136,1.37923728813559,2273.16101694915
"18","Bassitt, Chris",-0.458548812664908,1.13775725593668,2191.03166226913
"19","Baumann, Mike",-0.461696750902527,1.50848375451264,2195.76173285199
"20","Bautista, Félix",-0.605632183908046,1.63988505747126,2340.74384236453
"21","Baz, Shane",-0.742359550561798,1.50511235955056,2429.39325842697
"22","Beasley, Jeremy",-0.764939759036145,1.43313253012048,2440.23493975904
"23","Bednar, David",-0.848911111111111,1.42704444444444,2297.78
"24","Beede, Tyler",-0.916181102362205,1.08590551181102,2080.92519685039
"25","Bellatti, Andrew",-0.873341902313625,1.39614395886889,2436.47300771208
"26","Bello, Brayan",-0.791666666666667,1.12129032258065,2202.16129032258
"27","Berríos, José",-0.882612137203166,1.20795514511873,2241.25197889182
"28","Bickford, Phil",-0.398736998514116,1.30696879643388,2360.83655274889
"29","Bieber, Shane",-0.714616876818623,1.4721435499515,2205.45586808923
"30","Blackburn, Paul",-0.455707070707071,1.36686868686869,2134.95454545455
"31","Boxberger, Brad",-0.497378964941569,1.44893155258765,2385.22203672788
"32","Bradish, Kyle",0.108146892655367,1.34440677966102,2305.37853107345
"33","Brash, Matt",-0.959219219219219,1.16315315315315,2233.41741741742
"34","Brasier, Ryan",-0.589977011494253,1.38404597701149,2269.70574712644
"35","Brazoban, Huascar",-0.869735099337748,1.23483443708609,2232.21854304636
"36","Brebbia, John",-0.838389662027833,1.4506958250497,2308.79920477137
"37","Brieske, Beau",-0.60952861952862,1.46823232323232,2374.54545454545
"38","Brigham, Jeff",-0.978033707865169,1.31050561797753,2276.26404494382
"39","Brogdon, Connor",-0.89942731277533,1.37374449339207,2294.46696035242
"40","Brown, Hunter",-0.617345679012346,1.45932098765432,2262.36419753086
"41","Brubaker, JT",-0.779219858156028,1.3154609929078,2156.12765957447
"42","Buehler, Walker",-0.490837988826816,1.41033519553073,2266.82960893855
"43","Bundy, Dylan",-0.377919075144509,1.61075144508671,2352.41849710983
"44","Bush, Matt",-0.563492063492063,1.58473922902494,2526.21995464853
"45","Cabrera, Edward",-0.812571428571429,1.32514285714286,2288.81224489796
"46","Carrasco, Carlos",-0.631348182883939,1.17107854630715,2282.93786635404
"47","Castillo, Luis",-0.957612977983778,1.14144843568946,2358.85863267671
"48","Castillo, Max",-1.08231231231231,1.1906006006006,2192.5015015015
"49","Castro, Anthony",-0.29378640776699,1.0152427184466,2413.60194174757
"50","Castro, Kervin",0.246287878787879,1.30393939393939,2368.99242424242
"51","Cease, Dylan",-0.251087832393231,1.57762288477035,2507.25785656728
"52","Cessa, Luis",-0.619759036144578,1.21253012048193,2296.73092369478
"53","Cimber, Adam",-0.903545706371191,0.436786703601108,2171.69529085873
"54","Cishek, Steve",-1.0046017699115,0.942153392330383,2380.89970501475
"55","Cisnero, José",-0.930588235294118,1.28901960784314,2456.1568627451
"56","Civale, Aaron",-0.17568345323741,1.42302158273381,2353.76258992806
"57","Clarke, Taylor",-0.460686813186813,1.47340659340659,2267.82417582418
"58","Clevinger, Mike",-0.722237960339943,1.42104815864023,2300.5835694051
"59","Cole, Gerrit",-0.865889281507656,1.5257714958775,2428.01060070671
"60","Coleman, Dylan",-0.396558345642541,1.12214180206795,2446.83013293944
"61","Colomé, Alex",-0.19872,1.34528,2125.344
"62","Contreras, Roansy",-0.614142857142857,1.47614285714286,2389.45974025974
"63","Cotton, Jharel",-0.689395770392749,1.57592145015106,2262.96978851964
"64","Crawford, Kutter",-0.829839679358717,1.60312625250501,2419.95991983968
"65","Crismatt, Nabil",-0.617692307692308,1.17769230769231,2153.67611336032
"66","Crowe, Wil",-0.210859728506787,1.39031674208145,2477.93665158371
"67","Cueto, Johnny",-1.01218614718615,1.25694805194805,2190.48051948052
"68","Cyr, Tyler",-0.407735849056604,1.53556603773585,2148.92452830189
"69","Darvish, Yu",-0.599987261146497,1.41982165605096,2414.82165605096
"70","De Jong, Chase",-0.0998171846435101,1.55444241316271,2411.7294332724
"71","De Los Santos, Enyel",-0.98751503006012,1.18645290581162,2250.57715430862
"72","Devenski, Chris",-0.747714285714286,1.34647619047619,2179.44761904762
"73","Domínguez, Seranthony",-0.261038961038961,1.16285714285714,2357.32142857143
"74","Duffey, Tyler",-0.366776556776557,1.30783882783883,2275.54578754579
