"","player_name","meanhorizontal","meanvertical","meanspinrate"
"1","Acevedo, Domingo",-1.50292792792793,0.281126126126126,1866.57657657658
"2","Adam, Jason",-1.36818481848185,0.18039603960396,2016.25082508251
"3","Alcantara, Sandy",-1.39821029082774,0.311733780760626,2056.4451901566
"4","Alexander, Jason",-1.41513812154696,0.254364640883978,1805.70718232044
"5","Anderson, Chase",-1.38571428571429,1.16092857142857,2273.90714285714
"6","Anderson, Ian",-0.867942942942943,0.820135135135135,1518.55255255255
"7","Archer, Chris",-1.08391634980989,0.769277566539924,1704.51330798479
"8","Baker, Bryan",-1.19446601941748,0.910194174757282,1913.33009708738
"9","Barría, Jaime",-1.15211920529801,0.836887417218543,1611.30463576159
"10","Bassitt, Chris",-1.35109195402299,0.562816091954023,1823.54597701149
"11","Beede, Tyler",-1.30060283687943,0.303368794326241,1616.5780141844
"12","Bello, Brayan",-1.38762711864407,0.400974576271186,1876.21610169492
"13","Berríos, José",-1.19901678657074,0.380287769784173,1521.9928057554
"14","Blackburn, Paul",-1.09152466367713,0.609506726457399,1811.34080717489
"15","Boxberger, Brad",-0.934837398373984,0.461626016260163,1332.06910569106
"16","Bradish, Kyle",-1.01911764705882,0.794882352941176,1426.88235294118
"17","Brazoban, Huascar",-1.31169811320755,0.308679245283019,1839.51572327044
"18","Brieske, Beau",-1.28210526315789,1.08621052631579,2218.51929824561
"19","Brogdon, Connor",-1.4285993485342,0.590912052117264,2060.25732899023
"20","Brubaker, JT",-1.26933884297521,0.531239669421488,1880.22314049587
"21","Bundy, Dylan",-1.01735294117647,0.514117647058824,1361.22549019608
"22","Burnes, Corbin",-1.19739130434783,0.601987577639752,2044.81677018634
"23","Cabrera, Edward",-1.34035714285714,0.670459183673469,1679.22959183673
"24","Cano, Yennier",-1.50932773109244,0.305126050420168,1824.3781512605
"25","Carrasco, Carlos",-0.678060200668896,0.0937959866220736,1319.94314381271
"26","Castillo, Luis",-1.44073883161512,0.219209621993127,1928.95704467354
"27","Castillo, Max",-1.13614718614719,0.441645021645022,1614.96536796537
"28","Cessa, Luis",-0.961787234042553,0.475829787234043,1679.10212765957
"29","Chavez, Jesse",-1.31464516129032,0.139870967741935,1825.58064516129
"30","Clarke, Taylor",-1.17597826086957,0.415434782608696,1536.22826086957
"31","Clevinger, Mike",-1.19727272727273,0.846470588235294,1554.02673796791
"32","Cole, Gerrit",-1.16574545454545,0.776036363636364,1615.59636363636
"33","Cotton, Jharel",-1.1233110367893,0.505016722408027,2392.01003344482
"34","Crismatt, Nabil",-1.09513157894737,0.101823308270677,1696.38533834586
"35","Crowe, Wil",-0.849533678756477,0.344611398963731,1739.90932642487
"36","Cueto, Johnny",-1.01457023060797,0.341698113207547,1324.98532494759
"37","Davies, Zach",-1.16555847568988,0.720183968462549,1672.47831800263
"38","Dunning, Dane",-1.43543689320388,0.354388349514563,1859.74174757282
"39","Effross, Scott",-1.18974789915966,-0.709831932773109,2065.36134453782
"40","Elder, Bryce",-0.97152380952381,0.337142857142857,2109.93333333333
"41","Estévez, Carlos",-0.88304054054054,0.540675675675676,1660.18918918919
"42","Faedo, Alex",-1.315,0.922890625,1945.484375
"43","Farmer, Buck",-1.16502512562814,0.0311557788944723,1677.65326633166
"44","Feltner, Ryan",-0.439320388349515,0.465533980582524,1594.8640776699
"45","Flexen, Chris",-1.05050704225352,0.72025352112676,1309.16901408451
"46","Floro, Dylan",-1.41546153846154,0.194,1819.06923076923
"47","Gallen, Zac",-0.991822541966427,0.340959232613909,1539.25659472422
"48","Garcia, Luis",-1.4151948051948,0.855238095238095,2032.03896103896
"49","Germán, Domingo",-1.49372,0.7326,2367.576
"50","Gibson, Kyle",-1.23054421768707,0.301258503401361,1621.1768707483
"51","Gilbert, Logan",-1.27082987551867,0.711701244813278,1752.1244813278
"52","Giolito, Lucas",-0.943908701854494,0.923495007132668,1447.7089871612
"53","Givens, Mychal",-0.76825641025641,-0.253589743589744,2068.57435897436
"54","Graveman, Kendall",-1.16901408450704,0.411478873239437,1763.5
"55","Gray, Jon",-1.18619791666667,0.742760416666667,1454.67708333333
"56","Greene, Hunter",-0.942796610169492,0.990338983050847,1992.22033898305
"57","Greinke, Zack",-1.06742627345844,0.316380697050938,1643.49329758713
"58","Gutierrez, Vladimir",-1.09609523809524,0.821904761904762,1737.20952380952
"59","Heasley, Jonathan",-1.07131578947368,0.864894736842105,1870.65789473684
"60","Hendricks, Kyle",-1.03135593220339,0.892300242130751,2039.85714285714
"61","Hernández, Elieser",-1.37459459459459,0.75554054054054,1922.23648648649
"62","Hernández, Jonathan",-1.61247619047619,0.47447619047619,2180.91428571429
"63","Hill, Garrett",-1.05771186440678,0.458474576271186,1367.8813559322
"64","Houser, Adrian",-1.24617142857143,0.570228571428571,1547.77142857143
"65","Hutchison, Drew",-1.10488888888889,0.810833333333333,1738.36111111111
"66","Iglesias, Raisel",-1.40293103448276,0.305344827586207,1885.15517241379
"67","Javier, Cristian",-1.20952380952381,0.808190476190476,2220.01904761905
"68","Jax, Griffin",-1.18291139240506,0.469493670886076,1580.01265822785
"69","Jefferies, Daulton",-1.25508196721311,0.356475409836066,1507.73770491803
"70","Junis, Jakob",-0.815467128027682,0.389134948096886,1395.74394463668
"71","Kahnle, Tommy",-1.07127819548872,0.204360902255639,1322.13533834586
"72","Kaprielian, James",-0.693495575221239,0.19283185840708,1365.00442477876
"73","Keller, Brad",-0.845491803278689,0.734180327868852,1569.03278688525
"74","Keller, Mitch",-1.23412790697674,0.40453488372093,1632.41279069767
