"","player_name","pitch_type","meanxrelease","meanyrelease","meanspinrate","meanvelocity"
"1","Abbott, Cory","FF",-2.60467136150235,5.48415492957746,2253.98356807512,91.3577464788732
"2","Abreu, Albert","SI",-1.70720116618076,5.69020408163265,2200.40816326531,98.5489795918367
"3","Abreu, Bryan","FF",-1.8700871459695,5.77326797385621,2311.62962962963,97.1930283224401
"4","Acevedo, Domingo","FF",-1.87302600472813,5.3987706855792,2118.01182033097,93.0236406619385
"5","Adam, Jason","FF",-1.65152317880795,5.8423178807947,2654.26821192053,94.7841059602649
"6","Adon, Joan","FF",-2.52059202059202,6.0349806949807,2186.12741312741,94.9774774774775
"7","Alcantara, Sandy","FF",-2.11169117647059,6.04436274509804,2199.77328431373,97.9626225490196
"8","Alcantara, Sandy","SI",-2.16088198757764,6.03377639751553,2293.17639751553,97.8018633540373
"9","Alexander, Jason","SI",-2.37042553191489,5.36946808510638,2062.46352583587,92.3864741641337
"10","Almonte, Yency","SI",-1.62613924050633,5.69816455696203,2132.31012658228,95.7867088607595
"11","Anderson, Chase","FF",-1.07732824427481,5.97282442748092,2162.54961832061,91.9595419847328
"12","Anderson, Ian","FF",-1.4995,6.24447916666667,1937.60625,93.9885416666667
"13","Appel, Mark","SI",-1.16151785714286,6.06241071428571,1892.34821428571,94.9660714285714
"14","Arano, Víctor","SI",-2.0683904109589,5.86,2122.12671232877,93.9256849315069
"15","Archer, Chris","FF",-1.24728840125392,6.2132131661442,2174.23510971787,93.0308777429467
"16","Armstrong, Shawn","FC",-1.95483443708609,5.93721854304636,2459.83112582781,92.264238410596
"17","Armstrong, Shawn","FF",-2.01660066006601,5.88366336633663,2302.05280528053,95.3300330033003
"18","Armstrong, Shawn","SI",-2.04337801608579,5.82471849865952,2150.52815013405,95.569436997319
"19","Ashcraft, Graham","FC",-1.18093160377358,6.30456367924528,2382.95283018868,97.2665094339623
"20","Ashcraft, Graham","SI",-1.5286646884273,5.99857566765579,2182.82492581602,97.060237388724
"21","Assad, Javier","FC",-1.98849462365591,5.83397849462366,2134.47849462366,88.108064516129
"22","Assad, Javier","FF",-1.8330612244898,5.92006802721088,2211.38095238095,92.8931972789116
"23","Assad, Javier","SI",-1.75762790697674,5.94697674418605,2003.82325581395,92.346511627907
"24","Baker, Bryan","FF",-0.660723981900452,6.56621417797888,2334.6802413273,96.2027149321267
"25","Bard, Daniel","SI",-1.90877510040161,5.77333333333333,2507.78514056225,98.0248995983936
"26","Barlow, Joe","FF",-0.122960526315789,5.8208552631579,2330.59210526316,94.5644736842105
